Galactic Longitude,Altitude,Azimuth,Radial Velocity (km/s),Power
0.0,10.37109375,207.8173828125,321.66858,0.35881972
0.0,10.37109375,207.8173828125,315.48514,0.35194063
0.0,10.37109375,207.8173828125,305.17938,0.3383739
0.0,10.37109375,207.8173828125,296.93475,0.34735966
0.0,10.37109375,207.8173828125,290.7513,0.36263824
0.0,10.37109375,207.8173828125,280.44553,0.34127712
0.0,10.37109375,207.8173828125,274.2621,0.34265757
0.0,10.37109375,207.8173828125,270.1398,0.34807467
0.0,10.37109375,207.8173828125,263.95633,0.34426498
0.0,10.37109375,207.8173828125,257.77286,0.36369133
0.0,10.37109375,207.8173828125,247.4671,0.36974335
0.0,10.37109375,207.8173828125,239.22249,0.36773992
0.0,10.37109375,207.8173828125,233.03903,0.34202456
0.0,10.37109375,207.8173828125,228.91675,0.34982944
0.0,10.37109375,207.8173828125,224.79442,0.34958458
0.0,10.37109375,207.8173828125,218.61098,0.37448287
0.0,10.37109375,207.8173828125,212.4275,0.3369863
0.0,10.37109375,207.8173828125,202.12177,0.34424734
0.0,10.37109375,207.8173828125,189.75484,0.3522334
0.0,10.37109375,207.8173828125,183.57138,0.37327194
0.0,10.37109375,207.8173828125,179.44907,0.34602308
0.0,10.37109375,207.8173828125,171.20447,0.36316967
0.0,10.37109375,207.8173828125,160.8987,0.35395002
0.0,10.37109375,207.8173828125,154.71526,0.39560175
0.0,10.37109375,207.8173828125,148.5318,0.37130308
0.0,10.37109375,207.8173828125,142.34833,0.40502357
0.0,10.37109375,207.8173828125,138.22603,0.37662387
0.0,10.37109375,207.8173828125,134.10373,0.39245582
0.0,10.37109375,207.8173828125,129.98141,0.38626695
0.0,10.37109375,207.8173828125,123.79796,0.40849042
0.0,10.37109375,207.8173828125,117.6145,0.43455338
0.0,10.37109375,207.8173828125,113.4922,0.39350557
0.0,10.37109375,207.8173828125,105.2476,0.42330432
0.0,10.37109375,207.8173828125,99.06414,0.4090178
0.0,10.37109375,207.8173828125,94.941826,0.40759826
0.0,10.37109375,207.8173828125,90.81953,0.40625024
0.0,10.37109375,207.8173828125,84.63606,0.45144367
0.0,10.37109375,207.8173828125,74.33031,0.4301598
0.0,10.37109375,207.8173828125,68.14685,0.45658302
0.0,10.37109375,207.8173828125,61.963394,0.42033887
0.0,10.37109375,207.8173828125,57.841087,0.44640636
0.0,10.37109375,207.8173828125,51.65763,0.45473242
0.0,10.37109375,207.8173828125,43.41302,0.461138
0.0,10.37109375,207.8173828125,37.229565,0.462888
0.0,10.37109375,207.8173828125,33.107258,0.4323442
0.0,10.37109375,207.8173828125,26.923803,0.4565761
0.0,10.37109375,207.8173828125,22.801498,0.43782878
0.0,10.37109375,207.8173828125,18.679193,0.46655273
0.0,10.37109375,207.8173828125,14.556889,0.45975637
0.0,10.37109375,207.8173828125,8.373431,0.5116172
0.0,10.37109375,207.8173828125,-28.727312,2.0790997
0.0,10.37109375,207.8173828125,-39.033073,2.2091115
0.0,10.37109375,207.8173828125,-47.27768,1.9222858
0.0,10.37109375,207.8173828125,-74.07266,0.59839416
0.0,10.37109375,207.8173828125,-88.50073,0.6783371
0.0,10.37109375,207.8173828125,-100.867645,0.5326016
0.0,10.37109375,207.8173828125,-104.989944,0.5299876
0.0,10.37109375,207.8173828125,-111.1734,0.48160982
0.0,10.37109375,207.8173828125,-117.35686,0.44646168
0.0,10.37109375,207.8173828125,-125.60147,0.44695902
0.0,10.37109375,207.8173828125,-131.78493,0.43017244
0.0,10.37109375,207.8173828125,-140.02954,0.45194197
0.0,10.37109375,207.8173828125,-144.15184,0.45403457
0.0,10.37109375,207.8173828125,-148.27414,0.44328332
0.0,10.37109375,207.8173828125,-152.39645,0.43224144
0.0,10.37109375,207.8173828125,-156.51875,0.41499496
0.0,10.37109375,207.8173828125,-160.64105,0.43046832
0.0,10.37109375,207.8173828125,-170.94682,0.4000268
0.0,10.37109375,207.8173828125,-181.25258,0.39999723
0.0,10.37109375,207.8173828125,-187.43604,0.41400313
0.0,10.37109375,207.8173828125,-197.7418,0.41339278
0.0,10.37109375,207.8173828125,-201.8641,0.3955722
0.0,10.37109375,207.8173828125,-208.04755,0.42138147
0.0,10.37109375,207.8173828125,-212.16988,0.39872146
0.0,10.37109375,207.8173828125,-218.35332,0.40250206
0.0,10.37109375,207.8173828125,-224.53679,0.39031696
0.0,10.37109375,207.8173828125,-228.65909,0.39184928
0.0,10.37109375,207.8173828125,-238.96486,0.42453504
0.0,10.37109375,207.8173828125,-243.08716,0.39550138
0.0,10.37109375,207.8173828125,-249.2706,0.4088652
0.0,10.37109375,207.8173828125,-257.51523,0.39320564
0.0,10.37109375,207.8173828125,-265.75983,0.360538
0.0,10.37109375,207.8173828125,-269.88214,0.37593412
0.0,10.37109375,207.8173828125,-274.00443,0.39018536
0.0,10.37109375,207.8173828125,-282.24905,0.37662935
0.0,10.37109375,207.8173828125,-288.4325,0.3994274
0.0,10.37109375,207.8173828125,-294.61597,0.38725662
0.0,10.37109375,207.8173828125,-304.92172,0.3933363
0.0,10.37109375,207.8173828125,-311.1052,0.37883615
0.0,10.37109375,207.8173828125,-317.28864,0.3980856
0.0,10.37109375,207.8173828125,-321.41095,0.4098735
0.0,10.37109375,207.8173828125,-325.53326,0.43436718
0.0,10.37109375,207.8173828125,-331.7167,0.39491224
0.0,10.37109375,207.8173828125,-335.83902,0.4050808
0.0,10.37109375,207.8173828125,-344.08362,0.39561367
0.0,10.37109375,207.8173828125,-348.2059,0.40456438
0.0,10.37109375,207.8173828125,-354.38937,0.4156518
0.0,10.37109375,207.8173828125,-358.5117,0.42462206
0.0,10.37109375,207.8173828125,-368.81744,0.38581944
0.0,10.37109375,207.8173828125,-375.00092,0.40411758
0.0,10.37109375,207.8173828125,-379.12323,0.38682652
0.0,10.37109375,207.8173828125,-383.2455,0.37657118
0.0,10.37109375,207.8173828125,-391.4901,0.4224801
0.0,10.37109375,207.8173828125,-395.6124,0.40905333
0.0,10.37109375,207.8173828125,-403.85706,0.42118406
0.0,10.37109375,207.8173828125,-414.1628,0.38832235
0.0,10.37109375,207.8173828125,-420.34625,0.4266634
0.0,10.37109375,207.8173828125,-428.59088,0.3962021
0.0,10.37109375,207.8173828125,-432.7132,0.40881872
0.0,10.37109375,207.8173828125,-440.95776,0.41995335
0.0,10.37109375,207.8173828125,-445.08008,0.3974085
0.0,10.37109375,207.8173828125,-453.32468,0.4219694
0.0,10.37109375,207.8173828125,-459.50815,0.41006947
0.0,10.37109375,207.8173828125,-463.63043,0.410295
0.0,10.37109375,207.8173828125,-471.8751,0.40241575
0.0,10.37109375,207.8173828125,-478.0585,0.39035845
0.0,10.37109375,207.8173828125,-484.24197,0.39653492
0.0,10.37109375,207.8173828125,-490.42545,0.46611166
0.0,10.37109375,207.8173828125,-494.54773,0.38525248
0.0,10.37109375,207.8173828125,-506.91464,0.42260027
0.0,10.37109375,207.8173828125,-511.037,0.3930483
0.0,10.37109375,207.8173828125,-519.28156,0.4022069
0.0,10.37109375,207.8173828125,-523.4039,0.39583397
0.0,10.37109375,207.8173828125,-529.58734,0.4014449
0.0,10.37109375,207.8173828125,-533.70966,0.39940405
0.0,10.37109375,207.8173828125,-537.8319,0.42910957
0.0,10.37109375,207.8173828125,-544.0154,0.4208536
0.0,10.37109375,207.8173828125,-550.19885,0.41650152
0.0,10.37109375,207.8173828125,-554.32117,0.3861761
0.0,10.37109375,207.8173828125,-562.5658,0.39625454
0.0,10.37109375,207.8173828125,-568.74927,0.3886218
0.0,10.37109375,207.8173828125,-572.8715,0.41088963
0.0,10.37109375,207.8173828125,-579.055,0.40332556
0.0,10.37109375,207.8173828125,-583.1773,0.41397762
0.0,10.37109375,207.8173828125,-591.4219,0.39017105
0.0,10.37109375,207.8173828125,-595.5442,0.36098957
0.0,10.37109375,207.8173828125,-601.72766,0.43768883
