radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.623148,0.41,-3.16668,0.3,16.037,0.022,6,17.433,0.153,6,NA,NA,0,16.757,0.04,6,15.415,0.037,6,14.669,0.044,6,NA,NA,0,NA,NA,0
198.623331,0.574,-3.219891,0.344,16.664,0.064,4,17.675,0.278,4,NA,NA,0,17.25,0.092,6,16.071,0.094,6,15.669,0.138,5,NA,NA,0,NA,NA,0
198.626748,0.538,-2.960745,0.349,15.972,0.05,6,16.554,0.076,6,NA,NA,0,16.194,0.068,6,15.804,0.036,6,15.691,0.194,6,NA,NA,0,NA,NA,0
198.627013,0.538,-3.366465,0.302,16.126,0.042,5,17.539,0.182,5,NA,NA,0,16.878,0.091,6,15.534,0.037,6,14.575,0.05,6,NA,NA,0,NA,NA,0
198.629522,0.204,-3.015087,0.273,NA,NA,0,NA,NA,0,NA,NA,0,18.232,0.194,1,17.131,0.172,1,NA,NA,0,NA,NA,0,NA,NA,0
198.629597,0.356,-2.902428,0.236,14.49,0.036,6,15.189,0.021,6,NA,NA,0,14.785,0.024,6,14.315,0.051,6,14.253,0.038,6,NA,NA,0,NA,NA,0
198.63045,0.587,-3.128886,0.373,16.265,0.129,6,16.97,0.135,6,NA,NA,0,16.585,0.05,6,16.122,0.107,6,15.891,0.132,5,NA,NA,0,NA,NA,0
198.630561,0.415,-3.305444,0.293,15.97,0.051,6,16.539,0.069,6,NA,NA,0,16.209,0.034,6,15.777,0.124,6,15.797,0.195,6,NA,NA,0,NA,NA,0
198.632519,0.476,-3.202874,0.403,16.767,0.168,2,17.903,0.14,2,NA,NA,0,17.215,0.079,6,16.008,0.107,6,15.465,0.208,6,NA,NA,0,NA,NA,0
198.635296,0.699,-3.283234,0.303,NA,NA,0,NA,NA,0,NA,NA,0,17.533,0.205,6,16.256,0.142,6,15.448,0.084,6,NA,NA,0,NA,NA,0
198.636428,0.467,-2.835635,0.569,16.618,0.132,1,17.906,0.35,1,NA,NA,0,17.461,0.217,5,16.24,0.067,5,15.517,0.059,5,NA,NA,0,NA,NA,0
198.637424,0.264,-3.416592,0.234,12.867,0.016,6,14.009,0.032,6,NA,NA,0,13.444,0.013,6,12.4,0.031,6,12.091,0.053,6,11.916,0.071,3,NA,NA,0
198.643218,0.513,-3.307484,0.305,16.126,0.12,6,16.645,0.155,6,NA,NA,0,16.339,0.054,6,15.908,0.05,6,15.769,0.142,6,NA,NA,0,NA,NA,0
198.64375,0.698,-3.206279,0.327,17.228,0.171,2,18.261,0.485,2,NA,NA,0,17.585,0.105,3,16.81,0.097,3,NA,NA,0,NA,NA,0,NA,NA,0
198.644273,0.482,-2.846101,0.415,16.748,0.124,5,17.333,0.139,5,NA,NA,0,17.243,0.192,6,16.65,0.125,6,16.053,0.295,2,NA,NA,0,NA,NA,0
198.645715,0.662,-3.225234,0.527,16.688,0.118,5,17.652,0.249,5,NA,NA,0,17.072,0.109,6,16.285,0.132,6,16.181,0.114,4,NA,NA,0,NA,NA,0
198.648494,0.672,-3.116754,0.222,NA,NA,0,NA,NA,0,NA,NA,0,17.628,0.163,4,16.275,0.036,4,15.793,0.206,4,NA,NA,0,NA,NA,0
198.652426,0.117,-2.968768,0.28,17.905,0.34,1,18.462,0.393,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
198.65514,0.256,-3.267619,0.265,15.524,0.046,6,16.35,0.1,6,NA,NA,0,15.945,0.03,6,15.33,0.046,6,15.173,0.024,6,NA,NA,0,NA,NA,0
198.655475,0.206,-3.249654,0.214,14.851,0.033,6,15.707,0.021,6,NA,NA,0,15.227,0.027,6,14.606,0.031,6,14.473,0.086,6,NA,NA,0,NA,NA,0
198.657861,0.831,-3.307566,0.507,15.612,0.057,5,16.488,0.097,5,NA,NA,0,16.044,0.044,6,15.332,0.056,6,15.03,0.086,6,NA,NA,0,NA,NA,0
198.658187,0.16,-2.958863,0.214,13.182,0.02,6,13.812,0.012,6,NA,NA,0,13.464,0.014,6,13.009,0.041,6,12.92,0.043,6,12.807,0.16,3,NA,NA,0
198.658972,0.57,-3.298416,0.305,17.573,0.229,1,18.124,0.281,1,NA,NA,0,17.895,0.019,2,17.529,0.223,1,16.48,0.311,1,NA,NA,0,NA,NA,0
198.661357,0.796,-3.386619,0.617,16.364,0.103,6,17.573,0.343,6,NA,NA,0,17.027,0.083,6,15.907,0.075,6,15.491,0.046,6,NA,NA,0,NA,NA,0
198.661817,0.474,-2.864551,0.348,14.338,0.012,6,14.9,0.037,6,NA,NA,0,14.581,0.016,6,14.24,0.035,6,14.171,0.026,6,NA,NA,0,NA,NA,0
198.662109,0.594,-2.756033,0.441,16.632,0.152,5,17.539,0.095,5,NA,NA,0,17.094,0.164,6,16.233,0.107,6,15.98,0.082,4,NA,NA,0,NA,NA,0
198.664253,0.34,-3.101937,0.198,15.105,0.024,6,15.748,0.062,6,NA,NA,0,15.398,0.021,6,14.964,0.038,6,14.897,0.097,6,NA,NA,0,NA,NA,0
