0, 280
1, 535
2, 542
3, 589
4, 554
5, 563
6, 472
7, 507
8, 523
9, 506
10, 523
11, 557
12, 561
13, 538
14, 554
15, 544
16, 499
17, 557
18, 522
19, 530
20, 601
21, 543
22, 589
23, 556
24, 575
25, 546
26, 564
27, 516
28, 652
29, 557
30, 497
31, 574
32, 633
33, 615
34, 595
35, 610
36, 522
37, 618
38, 562
39, 589
40, 558
41, 560
42, 672
43, 660
44, 604
45, 548
46, 652
47, 570
48, 616
49, 652
50, 540
51, 609
52, 680
53, 559
54, 570
55, 651
56, 634
57, 664
58, 639
59, 670
60, 569
61, 670
62, 601
63, 577
64, 643
65, 573
66, 563
67, 635
68, 637
69, 712
70, 678
71, 670
72, 662
73, 684
74, 701
75, 682
76, 667
77, 703
78, 640
79, 681
80, 674
81, 635
82, 732
83, 791
84, 699
85, 740
86, 603
87, 717
88, 788
89, 742
90, 701
91, 757
92, 720
93, 812
94, 776
95, 773
96, 775
97, 769
98, 709
99, 762
100, 824
101, 806
102, 792
103, 950
104, 866
105, 872
106, 841
107, 875
108, 819
109, 819
110, 879
111, 900
112, 997
113, 883
114, 875
115, 952
116, 958
117, 967
118, 1003
119, 919
120, 1077
121, 1004
122, 1123
123, 1089
124, 1014
125, 1112
126, 1100
127, 1181
128, 1098
129, 1149
130, 1108
131, 1147
132, 1244
133, 1165
134, 1252
135, 1381
136, 1379
137, 1378
138, 1459
139, 1387
140, 1372
141, 1325
142, 1408
143, 1576
144, 1480
145, 1554
146, 1459
147, 1476
148, 1521
149, 1599
150, 1584
151, 1611
152, 1820
153, 1659
154, 1773
155, 1708
156, 1775
157, 1757
158, 1707
159, 1950
160, 1774
161, 1874
162, 2003
163, 1824
164, 1946
165, 1977
166, 2120
167, 2154
168, 2163
169, 2131
170, 2021
171, 2256
172, 2204
173, 2288
174, 2180
175, 2185
176, 2298
177, 2244
178, 2301
179, 2244
180, 2487
181, 2530
182, 2454
183, 2542
184, 2530
185, 2526
186, 2642
187, 2617
188, 2544
189, 2684
190, 2642
191, 2718
192, 2710
193, 2677
194, 2557
195, 2796
196, 2672
197, 2825
198, 2825
199, 2923
200, 2904
201, 2840
202, 2924
203, 2792
204, 2905
205, 3056
206, 2987
207, 3122
208, 3044
209, 3197
210, 3177
211, 3072
212, 2959
213, 3269
214, 3431
215, 3244
216, 3055
217, 3365
218, 3181
219, 3392
220, 3340
221, 3231
222, 3474
223, 3450
224, 3410
225, 3286
226, 3549
227, 3564
228, 3404
229, 3475
230, 3614
231, 3684
232, 3575
233, 3694
234, 3626
235, 3493
236, 3747
